Region,Population,Year,Age,65 and over,Generation
Carterton District,490,2006,0-4 Years,False,Gen Z
Masterton District,1460,2006,0-4 Years,False,Gen Z
Wellington City,11720,2006,0-4 Years,False,Gen Z
Lower Hutt City,7640,2006,0-4 Years,False,Gen Z
Upper Hutt City,2640,2006,0-4 Years,False,Gen Z
Porirua City,4370,2006,0-4 Years,False,Gen Z
Hurunui District,710,2006,0-4 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,7430,2006,0-4 Years,False,Gen Z
Manawatu District,1730,2006,0-4 Years,False,Gen Z
Central Hawke's Bay District,940,2001,0-4 Years,False,Gen Z
Ashburton District,1620,2001,0-4 Years,False,Gen Z
Selwyn District,2000,2001,0-4 Years,False,Gen Z
Christchurch City,20960,2001,0-4 Years,False,Gen Z
Waimakariri District,2830,2001,0-4 Years,False,Gen Z
Hurunui District,690,2001,0-4 Years,False,Gen Z
Westland District,490,2001,0-4 Years,False,Gen Z
Grey District,910,2001,0-4 Years,False,Gen Z
Buller District,600,2001,0-4 Years,False,Gen Z
Kaikoura District,220,2001,0-4 Years,False,Gen Z
Marlborough District,2540,2001,0-4 Years,False,Gen Z
Nelson City,2670,2001,0-4 Years,False,Gen Z
Tasman District,2830,2001,0-4 Years,False,Gen Z
South Wairarapa District,620,2001,0-4 Years,False,Gen Z
Masterton District,1640,2001,0-4 Years,False,Gen Z
Timaru District,2620,2001,0-4 Years,False,Gen Z
Wellington City,11190,2001,0-4 Years,False,Gen Z
Upper Hutt City,2770,2001,0-4 Years,False,Gen Z
Porirua City,4770,2001,0-4 Years,False,Gen Z
Kapiti Coast District,2680,2001,0-4 Years,False,Gen Z
Horowhenua District,2130,2001,0-4 Years,False,Gen Z
Tararua District,1390,2001,0-4 Years,False,Gen Z
Palmerston North City,5250,2001,0-4 Years,False,Gen Z
Manawatu District,1900,2001,0-4 Years,False,Gen Z
